snapshot_month,state,dealer_count
2022-12-01,Mississippi,2
2022-12-01,Missouri,6
2022-12-01,Montana,1
2022-12-01,Nebraska,1
2022-12-01,Nevada,6
2022-12-01,New Hampshire,2
2022-12-01,New Jersey,9
2022-12-01,New Mexico,1
2022-12-01,New York,22
2022-12-01,North Carolina,9
2022-12-01,North Dakota,1
2022-12-01,Ohio,9
2022-12-01,Oklahoma,5
2022-12-01,Oregon,4
2022-12-01,Pennsylvania,15
2022-12-01,Rhode Island,1
2022-12-01,South Carolina,5
2022-12-01,Tennessee,5
2022-12-01,Texas,26
2022-12-01,Utah,2
2022-12-01,Vermont,1
2022-12-01,Virginia,8
2022-12-01,Washington,5
2022-12-01,Wisconsin,4
2023-01-01,Alabama,3
2023-01-01,Alaska,1
2023-01-01,Arizona,5
2023-01-01,Arkansas,4
2023-01-01,California,35
2023-01-01,Colorado,6
2023-01-01,Columbia,1
2023-01-01,Connecticut,7
2023-01-01,Delaware,2
2023-01-01,Florida,28
2023-01-01,Georgia,6
2023-01-01,Hawaii,5
2023-01-01,Idaho,1
2023-01-01,Illinois,13
2023-01-01,Indiana,4
2023-01-01,Iowa,2
2023-01-01,Kansas,1
2023-01-01,Kentucky,2
2023-01-01,Louisiana,8
2023-01-01,Maine,1
2023-01-01,Maryland,3
2023-01-01,Massachusetts,7
2023-01-01,Michigan,9
2023-01-01,Minnesota,6
2023-01-01,Mississippi,2
2023-01-01,Missouri,6
2023-01-01,Montana,1
2023-01-01,Nebraska,1
2023-01-01,Nevada,6
2023-01-01,New Hampshire,2
2023-01-01,New Jersey,9
2023-01-01,New Mexico,1
2023-01-01,New York,22
2023-01-01,North Carolina,9
2023-01-01,North Dakota,1
2023-01-01,Ohio,9
2023-01-01,Oklahoma,5
2023-01-01,Oregon,4
2023-01-01,Pennsylvania,15
2023-01-01,Rhode Island,1
2023-01-01,South Carolina,5
2023-01-01,Tennessee,5
2023-01-01,Texas,26
2023-01-01,Utah,2
2023-01-01,Vermont,1
2023-01-01,Virginia,8
2023-01-01,Washington,5
2023-01-01,Wisconsin,4
2023-02-01,Alabama,3
2023-02-01,Alaska,1
2023-02-01,Arizona,4
2023-02-01,Arkansas,4
2023-02-01,California,35
2023-02-01,Colorado,6
2023-02-01,Columbia,1
2023-02-01,Connecticut,7
2023-02-01,Delaware,2
